kegg_function,kegg
Nucleic acid biosynthesis,K00764
Nucleic acid biosynthesis,K01945
Nucleic acid biosynthesis,K11787
Nucleic acid biosynthesis,K11788
Nucleic acid biosynthesis,K13713
Nucleic acid biosynthesis,K00601
Nucleic acid biosynthesis,K11175
Nucleic acid biosynthesis,K08289
Nucleic acid biosynthesis,K11787
Nucleic acid biosynthesis,K01492
Nucleic acid biosynthesis,K01952
Nucleic acid biosynthesis,K23269
Nucleic acid biosynthesis,K23264
Nucleic acid biosynthesis,K23265
Nucleic acid biosynthesis,K23270
Nucleic acid biosynthesis,K23265
Nucleic acid biosynthesis,K01933
Nucleic acid biosynthesis,K11787
Nucleic acid biosynthesis,K11788
Nucleic acid biosynthesis,K01587
Nucleic acid biosynthesis,K11808
Nucleic acid biosynthesis,K01589
Nucleic acid biosynthesis,K01588
Nucleic acid biosynthesis,K01923
Nucleic acid biosynthesis,K01587
Nucleic acid biosynthesis,K13713
Nucleic acid biosynthesis,K01756
Nucleic acid biosynthesis,K00602
Nucleic acid biosynthesis,K01492
Nucleic acid biosynthesis,K06863
Nucleic acid biosynthesis,K11176
Nucleic acid biosynthesis,K11540
Nucleic acid biosynthesis,K11541
Nucleic acid biosynthesis,K01465
Nucleic acid biosynthesis,K01954
Nucleic acid biosynthesis,K01955
Nucleic acid biosynthesis,K01956
Nucleic acid biosynthesis,K00609
Nucleic acid biosynthesis,K00610
Nucleic acid biosynthesis,K00608
Nucleic acid biosynthesis,K01465
Nucleic acid biosynthesis,K00226
Nucleic acid biosynthesis,K00254
Nucleic acid biosynthesis,K17828
Nucleic acid biosynthesis,K13421
Nucleic acid biosynthesis,K00762
Nucleic acid biosynthesis,K01591
Nucleic acid biosynthesis,K13800
Nucleic acid biosynthesis,K13809
Nucleic acid biosynthesis,K09903
Nucleic acid biosynthesis,K00940
Nucleic acid biosynthesis,K18533
Nucleic acid biosynthesis,K01937
Nucleic acid biosynthesis,K01939
Nucleic acid biosynthesis,K01756
Nucleic acid biosynthesis,K00939
Nucleic acid biosynthesis,K18532
Nucleic acid biosynthesis,K18533
Nucleic acid biosynthesis,K00944
Nucleic acid biosynthesis,K00940
Nucleic acid biosynthesis,K00088
Nucleic acid biosynthesis,K01951
Nucleic acid biosynthesis,K00942
Nucleic acid biosynthesis,K00940
Nucleic acid biosynthesis,K18533
Amino acid biosynthesis,K00058
Amino acid biosynthesis,K00831
Amino acid biosynthesis,K01079
Amino acid biosynthesis,K02203
Amino acid biosynthesis,K22305
Amino acid biosynthesis,K25528
Amino acid biosynthesis,K00928
Amino acid biosynthesis,K12524
Amino acid biosynthesis,K12525
Amino acid biosynthesis,K12526
Amino acid biosynthesis,K00133
Amino acid biosynthesis,K00003
Amino acid biosynthesis,K12524
Amino acid biosynthesis,K12525
