sample	Bacteria
C300215	Mix cultures
C300040	Microbacterium oxydans
C300160	Stenotrophomonas rhizophila
C300211	Agathobacter ruminis
C300119	Mix cultures
C300166	Stenotrophomonas rhizophila
C300144	Xanthomonas retroflexus
C300124	Microbacterium oxydans
C300209	Fusobacterium necrophorum
C300019	Mix cultures
C300118	Mix cultures
C300001	Mix cultures
C300195	Ruminococcus flavefaciens
C300158	Stenotrophomonas rhizophila
C300061	Stenotrophomonas rhizophila
C300183	Paenibacillus amylolyticus
C300191	Negative
C300013	Mix cultures
C300046	Xanthomonas retroflexus
C300210	Kandleria vitulina
C300011	Mix cultures
C300180	Paenibacillus amylolyticus
C300146	Xanthomonas retroflexus
C300112	Mix cultures
C300182	Paenibacillus amylolyticus
C300133	Microbacterium oxydans
C300135	Microbacterium oxydans
C300104	Mix cultures
C300111	Mix cultures
C300120	Mix cultures
C300106	Mix cultures
C300083	Paenibacillus amylolyticus
C300072	Stenotrophomonas rhizophila
C300205	Butyrivibrio fibrosolvens
C300117	Mix cultures
C300057	Stenotrophomonas rhizophila
C300034	Microbacterium oxydans
C300128	Microbacterium oxydans
C300028	Microbacterium oxydans
C300186	Negative
C300188	Negative
C300069	Stenotrophomonas rhizophila
C300049	Xanthomonas retroflexus
C300030	Microbacterium oxydans
C300197	Wolinella vibrio succinogenes
C300036	Microbacterium oxydans
C300172	Paenibacillus amylolyticus
C300079	Paenibacillus amylolyticus
C300056	Xanthomonas retroflexus
C300165	Stenotrophomonas rhizophila
C300199	Clostridium cadaveris
C300023	Mix cultures
C300082	Paenibacillus amylolyticus
C300169	Paenibacillus amylolyticus
C300196	Bacteroides cellulosyliticus
C300208	Clostridium aminophilim
C300039	Microbacterium oxydans
C300116	Mix cultures
C300005	Mix cultures
C300131	Microbacterium oxydans
C300170	Paenibacillus amylolyticus
C300025	Microbacterium oxydans
C300085	Paenibacillus amylolyticus
C300043	Xanthomonas retroflexus
C300213	Pseudobutyrivibrio sp
C300177	Paenibacillus amylolyticus
C300122	Microbacterium oxydans
C300136	Microbacterium oxydans
C300041	Xanthomonas retroflexus
C300074	Paenibacillus amylolyticus
C300107	Mix cultures
C300032	Microbacterium oxydans
C300015	Mix cultures
C300175	Paenibacillus amylolyticus
C300084	Paenibacillus amylolyticus
C300035	Microbacterium oxydans
C300042	Xanthomonas retroflexus
C300176	Paenibacillus amylolyticus
C300178	Paenibacillus amylolyticus
C300193	Enterococcus faecalis
C300103	Mix cultures
C300097	Mix cultures
C300100	Mix cultures
C300089	Negative
C300198	Clostridium paraputrificum
C300115	Mix cultures
C300044	Xanthomonas retroflexus
C300062	Stenotrophomonas rhizophila
C300054	Xanthomonas retroflexus
C300059	Stenotrophomonas rhizophila
C300214	Prevotella ruminicola
C300152	Xanthomonas retroflexus
C300159	Stenotrophomonas rhizophila
C300017	Mix cultures
C300053	Xanthomonas retroflexus
C300173	Paenibacillus amylolyticus
C300204	Bacteroides uniformis
C300081	Paenibacillus amylolyticus
C300156	Stenotrophomonas rhizophila
C300102	Mix cultures
C300016	Mix cultures
C300006	Mix cultures
C300033	Microbacterium oxydans
C300161	Stenotrophomonas rhizophila
C300132	Microbacterium oxydans
C300202	Bacteroides thetaiotaomicron
C300003	Mix cultures
C300018	Mix cultures
C300045	Xanthomonas retroflexus
C300012	Mix cultures
C300145	Xanthomonas retroflexus
C300150	Xanthomonas retroflexus
C300137	Xanthomonas retroflexus
C300068	Stenotrophomonas rhizophila
C300047	Xanthomonas retroflexus
C300134	Microbacterium oxydans
C300060	Stenotrophomonas rhizophila
C300087	Paenibacillus amylolyticus
C300164	Stenotrophomonas rhizophila
C300051	Xanthomonas retroflexus
C300010	Mix cultures
C300184	Paenibacillus amylolyticus
C300110	Mix cultures
C300147	Xanthomonas retroflexus
C300194	Ruminococcus gnavus
C300073	Paenibacillus amylolyticus
C300038	Microbacterium oxydans
C300031	Microbacterium oxydans
C300163	Stenotrophomonas rhizophila
C300192	Negative
C300201	Acidaminococcus fermentans
C300002	Mix cultures
C300108	Mix cultures
C300064	Stenotrophomonas rhizophila
C300065	Stenotrophomonas rhizophila
C300007	Mix cultures
C300216	Mix cultures
C300096	Negative
C300206	Butyrivibrio hungatei
C300063	Stenotrophomonas rhizophila
C300157	Stenotrophomonas rhizophila
C300066	Stenotrophomonas rhizophila
C300171	Paenibacillus amylolyticus
C300101	Mix cultures
C300148	Xanthomonas retroflexus
C300142	Xanthomonas retroflexus
C300037	Microbacterium oxydans
C300154	Stenotrophomonas rhizophila
C300095	Negative
C300125	Microbacterium oxydans
C300055	Xanthomonas retroflexus
C300050	Xanthomonas retroflexus
C300153	Stenotrophomonas rhizophila
C300088	Paenibacillus amylolyticus
C300105	Mix cultures
C300179	Paenibacillus amylolyticus
C300076	Paenibacillus amylolyticus
C300113	Mix cultures
C300099	Mix cultures
C300048	Xanthomonas retroflexus
C300020	Mix cultures
C300129	Microbacterium oxydans
C300123	Microbacterium oxydans
C300138	Xanthomonas retroflexus
C300187	Negative
C300212	Megasphaera elsdenii
C300139	Xanthomonas retroflexus
C300004	Mix cultures
C300014	Mix cultures
C300094	Negative
C300189	Negative
C300200	Butyrivibrio proteoclasticus
C300075	Paenibacillus amylolyticus
C300203	Eubacterium hallii
C300091	Negative
C300027	Microbacterium oxydans
C300080	Paenibacillus amylolyticus
C300092	Negative
C300140	Xanthomonas retroflexus
C300029	Microbacterium oxydans
C300008	Mix cultures
C300093	Negative
C300021	Mix cultures
C300086	Paenibacillus amylolyticus
C300149	Xanthomonas retroflexus
C300026	Microbacterium oxydans
C300090	Negative
C300151	Xanthomonas retroflexus
C300109	Mix cultures
C300067	Stenotrophomonas rhizophila
C300141	Xanthomonas retroflexus
C300155	Stenotrophomonas rhizophila
C300121	Microbacterium oxydans
C300114	Mix cultures
C300052	Xanthomonas retroflexus
C300071	Stenotrophomonas rhizophila
C300181	Paenibacillus amylolyticus
C300167	Stenotrophomonas rhizophila
C300127	Microbacterium oxydans
C300022	Mix cultures
C300190	Negative
C300130	Microbacterium oxydans
C300207	Actinomyces ruminicola
C300126	Microbacterium oxydans
C300168	Stenotrophomonas rhizophila
C300009	Mix cultures
C300077	Paenibacillus amylolyticus
C300070	Stenotrophomonas rhizophila
C300058	Stenotrophomonas rhizophila
C300143	Xanthomonas retroflexus
C300098	Mix cultures
C300162	Stenotrophomonas rhizophila
C300185	Negative
C300078	Paenibacillus amylolyticus
C300174	Paenibacillus amylolyticus
C300024	Mix cultures
