Bacteria	ko_id	count
Mix cultures	K02406	0.7085987719854151
Pseudobutyrivibrio sp	K02406	0.12843527719647482
Bacteroides uniformis	K13993	0.12072484547210736
Clostridium cadaveris	K19824	0.11613154046296292
Agathobacter ruminis	K02406	0.09322870107086957
Bacteroides uniformis	K04564	0.0807072412933597
Fusobacterium necrophorum	K04047	0.07921902759309243
Mix cultures	K03737	0.0788319325723547
Megasphera elasdenii	K00626	0.0693687966182884
Clostridium cadaveris	K02035	0.06729421480521981
Bacteroides cellulosyliticus	K01610	0.06499439052285742
Clostridium cadaveris	K03737	0.06308402373812891
Megasphera elasdenii	K00074	0.058715810877447594
Fusobacterium necrophorum	K24119	0.05480207935022474
Agathobacter ruminis	K10546	0.052041826794885754
Clostridium cadaveris	K06400	0.04978098126573762
Megasphera elasdenii	K03737	0.04973899999861689
Megasphera elasdenii	K01715	0.048382167716728354
Bacteroides uniformis	K01676	0.04413144750950251
Butyrivibrio proteoclasticus	K02406	0.04373773563957238
Agathobacter ruminis	K03406	0.04350188828490822
Bacteroides cellulosyliticus	K00134	0.04329832614413812
Prevotella ruminicola	K21573	0.04270122919522973
Megasphera elasdenii	K05919	0.04211118228638515
Clostridium cadaveris	K01361	0.03830293505426706
Bacteroides uniformis	K01689	0.03830221393866706
Bacteroides uniformis	K04043	0.03462647772438362
Agathobacter ruminis	K05808	0.034166976854061434
Megasphera elasdenii	K21449	0.032803873015666875
Clostridium aminophilim	K03706	0.032726141559979514
Bacteroides cellulosyliticus	K02358	0.032642023917543436
Agathobacter ruminis	K19294	0.031475976921430206
Clostridium cadaveris	K11068	0.03110316476587242
Megasphera elasdenii	K03522	0.031072517025842475
Clostridium aminophilim	K03046	0.03098843375048682
Megasphera elasdenii	K01007	0.030132932553715
Ruminococcus flavefaciens	K00134	0.029880046392218182
Bacteroides uniformis	K00262	0.028690174981176778
Fusobacterium necrophorum	K03671	0.02824999693709975
Acidaminococcus fermentans	K02358	0.028179886111071435
Clostridium aminophilim	K02358	0.02815041713493372
Fusobacterium necrophorum	K00134	0.028013622162895303
Megasphera elasdenii	K03521	0.02691472649962958
Ruminococcus flavefaciens	K03088	0.026869504473591835
Bacteroides cellulosyliticus	K13993	0.026842194444836324
Agathobacter ruminis	K11621	0.026621737707196773
Ruminococcus flavefaciens	K05808	0.026353576572375248
Megasphera elasdenii	K02358	0.02625449619857237
Bacteroides uniformis	K04077	0.02597911397025463
Ruminococcus flavefaciens	K20276	0.02474177542969331
Bacteroides cellulosyliticus	K21573	0.024329938987504244
Clostridium aminophilim	K05808	0.02370252509125806
Bacteroides uniformis	K01610	0.023482553846737055
Megasphera elasdenii	K02355	0.023270052500259167
Fusobacterium necrophorum	K03286	0.022974107746478005
Clostridium aminophilim	K19824	0.02294346677759601
Agathobacter ruminis	K00656	0.02274028796921148
Agathobacter ruminis	K19824	0.022445882265668342
Agathobacter ruminis	K22278	0.0222059354942919
Clostridium cadaveris	K00864	0.02132651423426574
Fusobacterium necrophorum	K07078	0.021194679853884367
Clostridium aminophilim	K21395	0.021184440609412544
Megasphera elasdenii	K00432	0.02113963539585665
Ruminococcus flavefaciens	K02358	0.0209522405147144
Fusobacterium necrophorum	K03704	0.020685555548646938
Clostridium cadaveris	K08602	0.020594697005000634
Clostridium aminophilim	K00134	0.020466483753128914
Prevotella ruminicola	K04077	0.01963545430276258
Bacteroides uniformis	K02358	0.019466963662944453
Bacteroides uniformis	K00134	0.01943704632807558
Clostridium cadaveris	K01299	0.019345623294587173
Bacteroides uniformis	K01624	0.01899214584915468
Mix cultures	K00074	0.018989223770139754
Mix cultures	K00262	0.018535174833559785
Bacteroides cellulosyliticus	K01624	0.018195923316027995
Butyrivibrio proteoclasticus	K03406	0.018140181781830793
Agathobacter ruminis	K02003	0.01808516440264875
Bacteroides cellulosyliticus	K02945	0.018075692180871843
Acidaminococcus fermentans	K03522	0.017902420235745217
Acidaminococcus fermentans	K03312	0.01788509627293561
Bacteroides cellulosyliticus	K19824	0.017820720643735764
Prevotella ruminicola	K13993	0.017802879824150814
Bacteroides uniformis	K03088	0.01758599310844545
Clostridium cadaveris	K10672	0.017464546236391022
Mix cultures	K00626	0.017413281362508762
Clostridium cadaveris	K03327	0.01728543086762967
Megasphera elasdenii	K00262	0.0172413116329742
Agathobacter ruminis	K02390	0.01724083996011643
Clostridium cadaveris	K10671	0.017073023148673663
Megasphera elasdenii	K01755	0.01693922543644974
Clostridium cadaveris	K03310	0.016910069832225347
Agathobacter ruminis	K25232	0.016820488882919586
Clostridium aminophilim	K11068	0.016433279223455347
Fusobacterium necrophorum	K03040	0.01641525116798443
Bacteroides uniformis	K21574	0.01636160540719969
Bacteroides uniformis	K07175	0.01626397452481329
Clostridium aminophilim	K00058	0.01612317635416557
Pseudobutyrivibrio sp	K03406	0.016121415262011152
Agathobacter ruminis	K02396	0.015972094692709556
Fusobacterium necrophorum	K01689	0.015948855576286378
Megasphera elasdenii	K02990	0.015889893683504967
Fusobacterium necrophorum	K03522	0.015801498003661808
Acidaminococcus fermentans	K03737	0.015381783646947214
Megasphera elasdenii	K02886	0.015131898446870292
Megasphera elasdenii	K09117	0.015109364756173731
Clostridium cadaveris	K02032	0.015058510977243686
Megasphera elasdenii	K03046	0.014979786327711972
Megasphera elasdenii	K01940	0.014754160349671985
Ruminococcus flavefaciens	K01006	0.014585414600347062
Bacteroides cellulosyliticus	K00927	0.014568026569768876
Mix cultures	K01715	0.014411536502446838
Clostridium cadaveris	K03046	0.014402959331577132
Clostridium cadaveris	K02406	0.014363012500874177
Bacteroides cellulosyliticus	K03737	0.01432282462964183
Bacteroides uniformis	K03832	0.014238375583154418
Prevotella ruminicola	K04043	0.014233856648654186
Bacteroides cellulosyliticus	K02355	0.014143316807732361
Agathobacter ruminis	K02414	0.014100907389987132
Megasphera elasdenii	K12950	0.013989978327493892
Megasphera elasdenii	K00248	0.013985494234461228
Clostridium aminophilim	K00868	0.013909692406553622
Bacteroides cellulosyliticus	K03559	0.013801012320207879
Mix cultures	K14534	0.013673709218698326
Ruminococcus flavefaciens	K02662	0.013590009289067614
Clostridium cadaveris	K04759	0.013538512862831772
Mix cultures	K02358	0.013532178754748133
Bacteroides uniformis	K01580	0.013523416623233482
Bacteroides cellulosyliticus	K02564	0.013386179685514171
Bacteroides cellulosyliticus	K24119	0.013234535495891861
Megasphera elasdenii	K04759	0.013218241893566355
Megasphera elasdenii	K18332	0.013207157034507925
Fusobacterium necrophorum	K02035	0.013142801719635812
Bacteroides cellulosyliticus	K04564	0.013132520805682139
Prevotella ruminicola	K00705	0.0130944373107332
Clostridium aminophilim	K03043	0.013026066512989189
Bacteroides cellulosyliticus	K04077	0.012851777284460604
Acidaminococcus fermentans	K02945	0.012837039816235648
Ruminococcus flavefaciens	K08483	0.012832661045554897
Bacteroides uniformis	K02564	0.012667074519053778
Ruminococcus flavefaciens	K05349	0.012619254169410616
Agathobacter ruminis	K02407	0.012522859934893184
Megasphera elasdenii	K01958	0.01244768216184681
Prevotella ruminicola	K02358	0.012436788396401666
Mix cultures	K03521	0.012402878655926208
Acidaminococcus fermentans	K03521	0.012300163225978577
Ruminococcus flavefaciens	K10546	0.012299044858480391
Bacteroides cellulosyliticus	K03561	0.012280135121711493
Bacteroides uniformis	K00024	0.012184927955632552
Bacteroides uniformis	K03695	0.01183285541324208
Fusobacterium necrophorum	K00248	0.011797281364469128
Megasphera elasdenii	K03076	0.011790709412520639
Prevotella ruminicola	K21572	0.01174712595072223
Clostridium cadaveris	K07335	0.01174576054784813
Mix cultures	K03406	0.011703997449518756
Fusobacterium necrophorum	K03796	0.01164313846951991
Fusobacterium necrophorum	K01534	0.011528828716751063
Mix cultures	K05825	0.011474052810126806
Clostridium aminophilim	K01624	0.011461615916062705
Bacteroides uniformis	K02217	0.01131925181081445
Bacteroides cellulosyliticus	K00688	0.011293497126990118
Butyrivibrio proteoclasticus	K02027	0.011257791247999402
Agathobacter ruminis	K02355	0.011255632918009949
Megasphera elasdenii	K03527	0.011135714470492681
Acidaminococcus fermentans	K00248	0.011037775033911823
Megasphera elasdenii	K02982	0.011020118355086712
Bacteroides cellulosyliticus	K21572	0.01096562483749529
Clostridium cadaveris	K03111	0.010948733336015638
Clostridium cadaveris	K03522	0.010932950117209154
Butyrivibrio proteoclasticus	K17318	0.01080907408123387
Clostridium cadaveris	K02355	0.010792999867309114
Clostridium cadaveris	K03043	0.010705050844945148
Fusobacterium necrophorum	K03737	0.010664739854953661
Bacteroides cellulosyliticus	K04043	0.010459387735624033
Agathobacter ruminis	K18682	0.010452624543098817
Clostridium aminophilim	K03312	0.01043808512037013
Mix cultures	K03522	0.010388335420450298
Megasphera elasdenii	K02906	0.010335126020766288
Ruminococcus flavefaciens	K07273	0.01031509457708037
Clostridium aminophilim	K05601	0.010274730111421567
Megasphera elasdenii	K19824	0.010228950045017214
Megasphera elasdenii	K02863	0.010181601965914569
Bacteroides uniformis	K02112	0.010121513141188669
Clostridium cadaveris	K00074	0.010116952415340765
Fusobacterium necrophorum	K15633	0.0100439509803944
Agathobacter ruminis	K05349	0.01001706341607534
Megasphera elasdenii	K02967	0.009776442457060254
Megasphera elasdenii	K03040	0.00975855407034752
Clostridium aminophilim	K15580	0.009730945817125764
Clostridium cadaveris	K09825	0.009599007819431626
Fusobacterium necrophorum	K00600	0.009580972205960686
Butyrivibrio proteoclasticus	K16511	0.009565637730201955
Clostridium cadaveris	K02440	0.009491824614704013
Agathobacter ruminis	K16919	0.009415461337087077
Fusobacterium necrophorum	K00927	0.009160866914855095
Clostridium cadaveris	K18682	0.009082452107432873
Fusobacterium necrophorum	K02863	0.009082407152247365
